episode_id,task_id,set,planner,recovery,terminal_status,independent_complete_success,objects_completed,objects_total,expected_met,failure_type,recovery_events,replan_events,model_requests,sim_time_s,wall_time_s
smoke_3obj_s7_20260918_025711_163,smoke_3obj_s7,smoke,rule,True,failed,False,2,3,False,IK_OR_PATH_UNREACHABLE,0,3,0,315.98,6.4
smoke_3obj_s11_20260918_025718_262,smoke_3obj_s11,smoke,rule,True,failed,False,0,3,False,ANOMALOUS_CONTACT,1,3,0,252.32,4.79
smoke_5obj_s13_20260918_025723_598,smoke_5obj_s13,smoke,rule,True,success,True,5,5,True,,0,1,0,318.62,13.19
smoke_3obj_s17_20260918_025737_336,smoke_3obj_s17,smoke,rule,True,success,True,3,3,True,,1,1,0,252.9,4.8
smoke_illegal_target_20260918_025742_677,smoke_illegal_target,smoke,rule,True,needs_clarification,False,0,0,True,AMBIGUOUS_TASK,0,0,0,0.5,0.14
