episode_id,task_id,set,planner,recovery,terminal_status,independent_complete_success,objects_completed,objects_total,expected_met,failure_type,recovery_events,replan_events,model_requests,sim_time_s,wall_time_s
s1_fault_3obj_s700_20260918_035234_809,s1_fault_3obj_s700,s1_fault,rule,True,success,True,3,3,True,,1,1,0,255.07,4.72
s1_fault_4obj_s701_20260918_035240_231,s1_fault_4obj_s701,s1_fault,rule,True,success,True,4,4,True,,1,1,0,318.51,6.87
s1_fault_5obj_s702_20260918_035247_662,s1_fault_5obj_s702,s1_fault,rule,True,success,True,5,5,True,,1,1,0,382.97,14.24
s1_fault_3obj_s703_20260918_035302_463,s1_fault_3obj_s703,s1_fault,rule,True,success,True,3,3,True,,1,1,0,254.87,4.77
s1_fault_4obj_s704_20260918_035307_781,s1_fault_4obj_s704,s1_fault,rule,True,success,True,4,4,True,,1,1,0,318.87,6.88
s1_fault_5obj_s705_20260918_035315_205,s1_fault_5obj_s705,s1_fault,rule,True,failed,False,0,5,False,INVALID_PLAN,1,1,0,62.53,1.43
s1_fault_3obj_s706_20260918_035317_189,s1_fault_3obj_s706,s1_fault,rule,True,failed,False,0,3,False,ANOMALOUS_CONTACT,2,2,0,190.81,3.55
s1_fault_4obj_s707_20260918_035321_292,s1_fault_4obj_s707,s1_fault,rule,True,success,True,4,4,True,,1,1,0,318.42,6.79
s1_fault_5obj_s708_20260918_035328_631,s1_fault_5obj_s708,s1_fault,rule,True,failed,False,4,5,False,TARGET_NO_FREE_SLOT,1,3,0,381.78,8.68
s1_fault_3obj_s709_20260918_035337_856,s1_fault_3obj_s709,s1_fault,rule,True,success,True,3,3,True,,1,1,0,255.93,4.74
s1_fault_4obj_s710_20260918_035343_143,s1_fault_4obj_s710,s1_fault,rule,True,success,True,4,4,True,,1,1,0,318.77,6.63
s1_fault_5obj_s711_20260918_035350_338,s1_fault_5obj_s711,s1_fault,rule,True,failed,False,0,5,False,GRASP_MISS,1,1,0,123.96,2.75
s1_fault_3obj_s712_20260918_035353_645,s1_fault_3obj_s712,s1_fault,rule,True,success,True,3,3,True,,1,1,0,254.2,4.93
s1_fault_4obj_s713_20260918_035359_131,s1_fault_4obj_s713,s1_fault,rule,True,success,True,4,4,True,,1,1,0,318.17,6.88
s1_fault_5obj_s714_20260918_035406_566,s1_fault_5obj_s714,s1_fault,rule,True,success,True,5,5,True,,1,1,0,383.02,8.88
s1_fault_3obj_s715_20260918_035415_994,s1_fault_3obj_s715,s1_fault,rule,True,success,True,3,3,True,,1,1,0,255.09,4.91
s1_fault_4obj_s716_20260918_035421_455,s1_fault_4obj_s716,s1_fault,rule,True,success,True,4,4,True,,1,1,0,318.26,6.81
s1_fault_5obj_s717_20260918_035428_811,s1_fault_5obj_s717,s1_fault,rule,True,failed,False,0,5,False,GRASP_MISS,1,1,0,124.01,2.73
s1_fault_3obj_s718_20260918_035432_090,s1_fault_3obj_s718,s1_fault,rule,True,success,True,3,3,True,,1,1,0,254.7,4.78
s1_fault_4obj_s719_20260918_035437_415,s1_fault_4obj_s719,s1_fault,rule,True,failed,False,3,4,False,IK_OR_PATH_UNREACHABLE,1,3,0,441.48,9.64
s1_fault_5obj_s720_20260918_035447_603,s1_fault_5obj_s720,s1_fault,rule,True,success,True,5,5,True,,1,1,0,383.03,8.69
s1_fault_3obj_s721_20260918_035456_838,s1_fault_3obj_s721,s1_fault,rule,True,success,True,3,3,True,,1,1,0,254.49,4.74
s1_fault_4obj_s722_20260918_035502_124,s1_fault_4obj_s722,s1_fault,rule,True,success,True,4,4,True,,1,1,0,318.44,6.93
s1_fault_5obj_s723_20260918_035509_617,s1_fault_5obj_s723,s1_fault,rule,True,failed,False,3,5,False,IK_OR_PATH_UNREACHABLE,1,3,0,439.51,10.42
s1_fault_3obj_s724_20260918_035520_583,s1_fault_3obj_s724,s1_fault,rule,True,success,True,3,3,True,,1,1,0,255.02,4.8
s1_fault_4obj_s725_20260918_035525_935,s1_fault_4obj_s725,s1_fault,rule,True,failed,False,0,4,False,INVALID_PLAN,1,1,0,62.45,1.42
s1_fault_5obj_s726_20260918_035527_913,s1_fault_5obj_s726,s1_fault,rule,True,failed,False,0,5,False,GRASP_MISS,1,1,0,124.0,2.81
s1_fault_3obj_s727_20260918_035531_272,s1_fault_3obj_s727,s1_fault,rule,True,failed,False,0,3,False,ANOMALOUS_CONTACT,1,3,0,253.76,4.73
s1_fault_4obj_s728_20260918_035536_565,s1_fault_4obj_s728,s1_fault,rule,True,success,True,4,4,True,,1,1,0,318.88,6.79
s1_fault_5obj_s729_20260918_035543_895,s1_fault_5obj_s729,s1_fault,rule,True,failed,False,4,5,False,IK_OR_PATH_UNREACHABLE,1,3,0,503.52,17.72
