episode_id,task_id,set,planner,recovery,terminal_status,independent_complete_success,objects_completed,objects_total,expected_met,failure_type,recovery_events,replan_events,model_requests,sim_time_s,wall_time_s
smoke_3obj_s7_20260918_024033_956,smoke_3obj_s7,smoke,rule,True,failed,False,2,3,False,GRASP_MISS,1,1,0,248.89,11.77
smoke_3obj_s11_20260918_024046_449,smoke_3obj_s11,smoke,rule,True,success,True,3,3,True,,0,1,0,190.59,5.82
smoke_5obj_s13_20260918_024052_825,smoke_5obj_s13,smoke,rule,True,failed,False,3,5,False,GRASP_MISS,1,1,0,248.95,17.78
smoke_3obj_s17_20260918_024111_162,smoke_3obj_s17,smoke,rule,True,success,True,3,3,True,,1,1,0,251.76,6.36
smoke_illegal_target_20260918_024118_062,smoke_illegal_target,smoke,rule,True,needs_clarification,False,0,0,True,AMBIGUOUS_TASK,0,0,0,0.5,0.16
