episode_id,task_id,set,planner,recovery,terminal_status,independent_complete_success,objects_completed,objects_total,expected_met,failure_type,recovery_events,replan_events,model_requests,sim_time_s,wall_time_s
smoke_3obj_s7_20260918_030913_647,smoke_3obj_s7,smoke,rule,True,success,True,3,3,True,,0,1,0,193.1,3.74
smoke_3obj_s11_20260918_030918_072,smoke_3obj_s11,smoke,rule,True,failed,False,2,3,False,TARGET_NO_FREE_SLOT,0,3,0,191.99,3.99
smoke_5obj_s13_20260918_030922_605,smoke_5obj_s13,smoke,rule,True,success,True,5,5,True,,0,1,0,320.69,7.52
smoke_3obj_s17_20260918_030930_668,smoke_3obj_s17,smoke,rule,True,success,True,3,3,True,,1,1,0,254.63,4.85
smoke_illegal_target_20260918_030936_057,smoke_illegal_target,smoke,rule,True,needs_clarification,False,0,0,True,AMBIGUOUS_TASK,0,0,0,0.5,0.13
