episode_id,task_id,set,planner,recovery,terminal_status,independent_complete_success,objects_completed,objects_total,expected_met,failure_type,recovery_events,replan_events,model_requests,sim_time_s,wall_time_s
s1_fault_3obj_s700_20260918_031439_787,s1_fault_3obj_s700,s1_fault,rule,True,success,True,3,3,True,,1,1,0,255.22,5.0
s1_fault_4obj_s701_20260918_031445_524,s1_fault_4obj_s701,s1_fault,rule,True,failed,False,0,4,False,GRASP_MISS,1,1,0,123.79,2.72
s1_fault_5obj_s702_20260918_031448_849,s1_fault_5obj_s702,s1_fault,rule,True,success,True,5,5,True,,1,1,0,384.75,17.53
s1_fault_3obj_s703_20260918_031506_944,s1_fault_3obj_s703,s1_fault,rule,True,success,True,3,3,True,,1,1,0,254.61,5.08
s1_fault_4obj_s704_20260918_031512_591,s1_fault_4obj_s704,s1_fault,rule,True,failed,False,2,4,False,TARGET_NO_FREE_SLOT,1,3,0,255.65,5.95
s1_fault_5obj_s705_20260918_031519_141,s1_fault_5obj_s705,s1_fault,rule,True,failed,False,0,5,False,INVALID_PLAN,1,1,0,62.53,1.64
s1_fault_3obj_s706_20260918_031521_334,s1_fault_3obj_s706,s1_fault,rule,True,failed,False,0,3,False,ANOMALOUS_CONTACT,1,3,0,254.43,5.02
s1_fault_4obj_s707_20260918_031526_922,s1_fault_4obj_s707,s1_fault,rule,True,failed,False,3,4,False,TARGET_NO_FREE_SLOT,1,3,0,316.95,7.23
s1_fault_5obj_s708_20260918_031534_712,s1_fault_5obj_s708,s1_fault,rule,True,success,True,5,5,True,,1,1,0,383.69,9.34
s1_fault_3obj_s709_20260918_031544_606,s1_fault_3obj_s709,s1_fault,rule,True,success,True,3,3,True,,1,1,0,254.5,4.96
s1_fault_4obj_s710_20260918_031550_122,s1_fault_4obj_s710,s1_fault,rule,True,success,True,4,4,True,,1,1,0,318.83,7.15
s1_fault_5obj_s711_20260918_031557_848,s1_fault_5obj_s711,s1_fault,rule,True,failed,False,0,5,False,GRASP_MISS,1,1,0,123.96,3.05
s1_fault_3obj_s712_20260918_031601_561,s1_fault_3obj_s712,s1_fault,rule,True,failed,False,1,3,False,TARGET_NO_FREE_SLOT,1,3,0,189.11,3.71
s1_fault_4obj_s713_20260918_031605_833,s1_fault_4obj_s713,s1_fault,rule,True,failed,False,3,4,False,TARGET_NO_FREE_SLOT,1,3,0,316.98,7.25
s1_fault_5obj_s714_20260918_031613_664,s1_fault_5obj_s714,s1_fault,rule,True,success,True,5,5,True,,1,1,0,382.62,9.37
s1_fault_3obj_s715_20260918_031623_620,s1_fault_3obj_s715,s1_fault,rule,True,success,True,3,3,True,,1,1,0,254.8,5.19
s1_fault_4obj_s716_20260918_031629_376,s1_fault_4obj_s716,s1_fault,rule,True,failed,False,3,4,False,TARGET_NO_FREE_SLOT,1,3,0,316.95,10.08
s1_fault_5obj_s717_20260918_031640_046,s1_fault_5obj_s717,s1_fault,rule,True,success,True,5,5,True,,1,2,0,382.95,9.93
s1_fault_3obj_s718_20260918_031650_538,s1_fault_3obj_s718,s1_fault,rule,True,success,True,3,3,True,,1,1,0,254.54,5.21
s1_fault_4obj_s719_20260918_031656_310,s1_fault_4obj_s719,s1_fault,rule,True,failed,False,3,4,False,IK_OR_PATH_UNREACHABLE,1,3,0,440.55,9.77
s1_fault_5obj_s720_20260918_031706_649,s1_fault_5obj_s720,s1_fault,rule,True,success,True,5,5,True,,1,1,0,382.99,9.49
s1_fault_3obj_s721_20260918_031716_691,s1_fault_3obj_s721,s1_fault,rule,True,failed,False,2,3,False,TARGET_NO_FREE_SLOT,1,3,0,253.1,5.14
s1_fault_4obj_s722_20260918_031722_393,s1_fault_4obj_s722,s1_fault,rule,True,success,True,4,4,True,,1,1,0,318.27,7.21
s1_fault_5obj_s723_20260918_031730_165,s1_fault_5obj_s723,s1_fault,rule,True,failed,False,3,5,False,IK_OR_PATH_UNREACHABLE,1,3,0,440.92,11.25
s1_fault_3obj_s724_20260918_031741_975,s1_fault_3obj_s724,s1_fault,rule,True,success,True,3,3,True,,1,1,0,254.69,4.97
s1_fault_4obj_s725_20260918_031747_569,s1_fault_4obj_s725,s1_fault,rule,True,failed,False,0,4,False,INVALID_PLAN,1,1,0,62.45,1.47
s1_fault_5obj_s726_20260918_031749_620,s1_fault_5obj_s726,s1_fault,rule,True,failed,False,0,5,False,GRASP_MISS,1,1,0,124.0,3.17
s1_fault_3obj_s727_20260918_031753_364,s1_fault_3obj_s727,s1_fault,rule,True,failed,False,0,3,False,ANOMALOUS_CONTACT,1,3,0,253.8,4.9
s1_fault_4obj_s728_20260918_031758_823,s1_fault_4obj_s728,s1_fault,rule,True,success,True,4,4,True,,1,1,0,318.6,7.43
s1_fault_5obj_s729_20260918_031806_808,s1_fault_5obj_s729,s1_fault,rule,True,failed,False,3,5,False,IK_OR_PATH_UNREACHABLE,1,3,0,503.47,19.16
