episode_id,task_id,set,planner,recovery,terminal_status,independent_complete_success,objects_completed,objects_total,expected_met,failure_type,recovery_events,replan_events,model_requests,sim_time_s,wall_time_s
smoke_3obj_s7_20260918_022100_887,smoke_3obj_s7,smoke,rule,True,success,True,3,3,True,,0,1,0,193.62,6.17
smoke_3obj_s11_20260918_022107_751,smoke_3obj_s11,smoke,rule,True,success,True,3,3,True,,0,1,0,193.48,4.34
smoke_5obj_s13_20260918_022112_656,smoke_5obj_s13,smoke,rule,True,success,True,5,5,True,,0,1,0,321.72,10.96
smoke_3obj_s17_20260918_022124_174,smoke_3obj_s17,smoke,rule,True,success,True,3,3,True,,0,1,0,193.41,6.14
smoke_illegal_target_20260918_022130_854,smoke_illegal_target,smoke,rule,True,needs_clarification,False,0,0,True,AMBIGUOUS_TASK,0,0,0,0.5,0.14
