episode_id,task_id,set,planner,recovery,terminal_status,independent_complete_success,objects_completed,objects_total,expected_met,failure_type,recovery_events,replan_events,model_requests,sim_time_s,wall_time_s
smoke_3obj_s7_20260918_034214_305,smoke_3obj_s7,smoke,rule,True,success,True,3,3,True,,0,1,0,193.19,3.84
smoke_3obj_s11_20260918_034218_882,smoke_3obj_s11,smoke,rule,True,success,True,3,3,True,,0,1,0,192.82,3.76
smoke_5obj_s13_20260918_034223_195,smoke_5obj_s13,smoke,rule,True,success,True,5,5,True,,0,1,0,320.6,7.68
smoke_3obj_s17_20260918_034231_434,smoke_3obj_s17,smoke,rule,True,success,True,3,3,True,,1,1,0,255.1,4.79
smoke_illegal_target_20260918_034236_774,smoke_illegal_target,smoke,rule,True,needs_clarification,False,0,0,True,AMBIGUOUS_TASK,0,0,0,0.5,0.14
